 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          06  ANOPLAN=         2019
    1 CAMARGOS        190.00    166.00    125.00     82.00     67.00     39.00     33.00     39.00     39.00     72.00     96.00    164.00
    2 ITUTINGA        190.00    166.00    125.00     82.00     67.00     39.00     33.00     39.00     39.00     72.00     96.00    164.00
    6 FURNAS         1340.00   1191.00    903.00    591.00    474.00    239.00    172.00    225.00    183.00    465.00    626.00   1115.00
    7 M. DE MORAE    1495.00   1341.00   1018.00    668.00    534.00    285.00    209.00    261.00    222.00    515.00    690.00   1229.00
    8 ESTREITO       1528.00   1378.00   1047.00    689.00    549.00    296.00    217.00    269.00    231.00    526.00    702.00   1249.00
    9 JAGUARA        1540.00   1393.00   1059.00    699.00    555.00    301.00    221.00    272.00    234.00    529.00    706.00   1255.00
   10 IGARAPAVA      1577.00   1437.00   1093.00    725.00    573.00    314.00    232.00    282.00    244.00    541.00    720.00   1277.00
   11 VOLTA GRAND    1664.00   1531.00   1166.00    779.00    613.00    342.00    254.00    304.00    268.00    570.00    755.00   1336.00
   12 P. COLOMBIA    1878.00   1749.00   1337.00    900.00    704.00    416.00    309.00    354.00    314.00    641.00    847.00   1493.00
   14 CACONDE          74.00     72.00     54.00     35.00     28.00     19.00     15.00     19.00     17.00     29.00     35.00     64.00
   15 E. DA CUNHA     121.00    118.00     88.00     57.00     46.00     31.00     25.00     31.00     27.00     46.00     56.00    103.00
   16 A.S.OLIVEIR     123.00    121.00     89.00     58.00     46.00     32.00     25.00     31.00     28.00     47.00     57.00    105.00
   17 MARIMBONDO     2501.00   2448.00   1873.00   1291.00   1015.00    674.00    524.00    579.00    508.00    924.00   1172.00   2011.00
   18 A. VERMELHA    2791.00   2775.00   2135.00   1482.00   1159.00    836.00    668.00    734.00    668.00   1061.00   1320.00   2224.00
   20 BOCAINA         250.00    240.00    185.00    127.00     88.00     51.00     39.00     35.00     33.00     63.00    105.00    212.00
   22 BATALHA         146.00    141.00    122.00     89.00     62.00     38.00     26.00     26.00     24.00     42.00     67.00    130.00
