 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          01  ANOPLAN=         2020
    1 CAMARGOS        241.00    195.00    156.00    104.00     79.00     65.00     55.00     52.00     63.00     82.00    129.00    191.00
    2 ITUTINGA        241.00    195.00    156.00    104.00     79.00     65.00     55.00     52.00     63.00     82.00    129.00    191.00
    6 FURNAS         1696.00   1404.00   1125.00    753.00    558.00    453.00    375.00    339.00    410.00    535.00    838.00   1298.00
    7 M. DE MORAE    1891.00   1580.00   1268.00    850.00    628.00    506.00    419.00    378.00    454.00    592.00    924.00   1431.00
    8 ESTREITO       1933.00   1624.00   1303.00    877.00    646.00    520.00    430.00    387.00    463.00    604.00    940.00   1455.00
    9 JAGUARA        1948.00   1642.00   1319.00    889.00    653.00    526.00    434.00    391.00    467.00    609.00    946.00   1461.00
   10 IGARAPAVA      1996.00   1694.00   1362.00    923.00    675.00    541.00    447.00    403.00    478.00    622.00    965.00   1486.00
   11 VOLTA GRAND    2105.00   1805.00   1452.00    992.00    721.00    577.00    475.00    427.00    504.00    655.00   1012.00   1555.00
   12 P. COLOMBIA    2376.00   2062.00   1665.00   1146.00    829.00    659.00    541.00    484.00    566.00    737.00   1135.00   1738.00
   14 CACONDE          93.00     85.00     67.00     45.00     33.00     27.00     22.00     20.00     24.00     33.00     47.00     74.00
   15 E. DA CUNHA     153.00    140.00    110.00     73.00     54.00     44.00     36.00     34.00     40.00     53.00     75.00    120.00
   16 A.S.OLIVEIR     155.00    142.00    111.00     74.00     55.00     45.00     37.00     34.00     41.00     54.00     76.00    122.00
   17 MARIMBONDO     3165.00   2885.00   2333.00   1643.00   1195.00    970.00    799.00    729.00    836.00   1062.00   1571.00   2341.00
   18 A. VERMELHA    3531.00   3270.00   2659.00   1886.00   1365.00   1113.00    919.00    842.00    959.00   1220.00   1769.00   2589.00
   20 BOCAINA         316.00    283.00    230.00    162.00    104.00     77.00     61.00     53.00     54.00     73.00    141.00    247.00
   22 BATALHA         184.00    167.00    152.00    113.00     73.00     54.00     43.00     37.00     36.00     48.00     90.00    151.00
   23 CORUMBA III     260.00    254.00    231.00    178.00    112.00     80.00     63.00     55.00     55.00     80.00    144.00    210.00
   24 EMBORCACAO      862.00    764.00    659.00    470.00    303.00    225.00    182.00    161.00    164.00    216.00    409.00    688.00
   25 NOVA PONTE      505.00    453.00    384.00    281.00    196.00    147.00    124.00    110.00    117.00    159.00    261.00    394.00
   28 CAPIM BRANC     613.00    555.00    471.00    351.00    243.00    185.00    155.00    141.00    150.00    200.00    322.00    479.00
   31 ITUMBIARA      2616.00   2411.00   2120.00   1550.00   1014.00    757.00    610.00    537.00    551.00    740.00   1318.00   2065.00
   32 CACH.DOURAD    2738.00   2532.00   2227.00   1631.00   1070.00    799.00    646.00    570.00    585.00    779.00   1382.00   2161.00
   33 SAO SIMAO      3927.00   3650.00   3265.00   2436.00   1613.00   1219.00    993.00    889.00    931.00   1221.00   2055.00   3127.00
   34 I.SOLTEIRA     8583.00   8041.00   6944.00   5106.00   3552.00   2814.00   2328.00   2143.00   2364.00   3022.00   4558.00   6609.00
   37 BARRA BONIT     685.00    637.00    487.00    310.00    250.00    243.00    191.00    178.00    224.00    303.00    361.00    499.00
   38 A.S.LIMA        765.00    716.00    549.00    353.00    284.00    277.00    217.00    203.00    254.00    339.00    407.00    558.00
   39 IBITINGA        908.00    848.00    655.00    435.00    352.00    340.00    273.00    258.00    318.00    416.00    497.00    673.00
   40 PROMISSAO      1093.00   1025.00    801.00    527.00    428.00    412.00    335.00    319.00    392.00    506.00    600.00    811.00
   42 NAVANHANDAV    1176.00   1106.00    861.00    565.00    455.00    439.00    356.00    338.00    415.00    539.00    641.00    867.00
