 NUM  POSTO         JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXX    XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX  XXXXX.XX
 MESPLAN =          02  ANOPLAN=         2019
    1 CAMARGOS        241.00     98.00    110.00     60.00     44.00     39.00     33.00     39.00     40.00     56.00    105.00    224.00
    2 ITUTINGA        241.00     98.00    110.00     60.00     44.00     39.00     33.00     39.00     40.00     56.00    105.00    224.00
    6 FURNAS         1696.00    640.00    800.00    356.00    247.00    239.00    172.00    225.00    194.00    442.00    832.00   1524.00
    7 M. DE MORAE    1891.00    772.00    942.00    443.00    304.00    285.00    209.00    261.00    232.00    491.00    968.00   1681.00
    8 ESTREITO       1933.00    802.00    975.00    464.00    317.00    296.00    217.00    269.00    241.00    501.00    995.00   1708.00
    9 JAGUARA        1948.00    814.00    990.00    473.00    322.00    301.00    221.00    272.00    244.00    503.00   1004.00   1716.00
   10 IGARAPAVA      1996.00    850.00   1030.00    499.00    338.00    314.00    232.00    282.00    254.00    514.00   1034.00   1746.00
   11 VOLTA GRAND    2105.00    931.00   1114.00    552.00    373.00    342.00    254.00    304.00    277.00    543.00   1113.00   1827.00
   12 P. COLOMBIA    2376.00   1108.00   1315.00    688.00    467.00    416.00    309.00    354.00    323.00    604.00   1257.00   2042.00
   14 CACONDE          93.00     44.00     59.00     32.00     21.00     19.00     15.00     19.00     17.00     32.00     41.00     87.00
   15 E. DA CUNHA     153.00     71.00     98.00     52.00     34.00     31.00     25.00     31.00     27.00     53.00     67.00    141.00
   16 A.S.OLIVEIR     155.00     71.00    100.00     53.00     34.00     32.00     25.00     31.00     28.00     54.00     68.00    143.00
   17 MARIMBONDO     3165.00   1682.00   1871.00   1027.00    732.00    674.00    524.00    579.00    515.00    934.00   1706.00   2750.00
   18 A. VERMELHA    3531.00   2081.00   2205.00   1277.00    913.00    836.00    668.00    734.00    671.00   1118.00   1988.00   3041.00
   20 BOCAINA         316.00    154.00    197.00    112.00     65.00     51.00     39.00     35.00     31.00     43.00    216.00    290.00
   22 BATALHA         184.00    133.00    138.00     88.00     46.00     38.00     26.00     26.00     22.00     33.00    161.00    178.00
   23 CORUMBA III     260.00    162.00    178.00    156.00     83.00     60.00     45.00     39.00     32.00     62.00    153.00    246.00
   24 EMBORCACAO      862.00    438.00    559.00    317.00    183.00    146.00    110.00     98.00     87.00    122.00    614.00    807.00
   25 NOVA PONTE      505.00    278.00    234.00    175.00    126.00    104.00     88.00     76.00     72.00    126.00    395.00    463.00
   28 CAPIM BRANC     613.00    295.00    265.00    191.00    136.00    112.00     94.00     81.00     77.00    133.00    407.00    562.00
   31 ITUMBIARA      2616.00   1583.00   1701.00   1192.00    714.00    558.00    428.00    367.00    341.00    548.00   1898.00   2425.00
   32 CACH.DOURAD    2738.00   1693.00   1844.00   1301.00    769.00    601.00    462.00    395.00    365.00    579.00   1974.00   2538.00
   33 SAO SIMAO      3927.00   2876.00   3125.00   2350.00   1445.00   1170.00    928.00    787.00    720.00   1071.00   3134.00   3673.00
   34 I.SOLTEIRA     8583.00   6136.00   6504.00   4543.00   2929.00   2502.00   1989.00   1880.00   1861.00   2806.00   6290.00   7763.00
   37 BARRA BONIT     685.00    365.00    426.00    270.00    153.00    152.00    114.00    195.00    158.00    298.00    405.00    595.00
   38 A.S.LIMA        765.00    419.00    482.00    325.00    188.00    188.00    145.00    237.00    192.00    352.00    446.00    663.00
   39 IBITINGA        908.00    520.00    586.00    423.00    256.00    257.00    204.00    316.00    260.00    456.00    532.00    799.00
   40 PROMISSAO      1093.00    667.00    698.00    495.00    316.00    322.00    261.00    379.00    338.00    574.00    643.00    961.00
   42 NAVANHANDAV    1176.00    725.00    743.00    524.00    339.00    347.00    283.00    403.00    368.00    618.00    681.00   1027.00
   43 T.IRMAOS       1232.00    791.00    772.00    567.00    351.00    359.00    294.00    406.00    380.00    630.00    654.00   1074.00
   44 I.SOLT. EQV    9814.00   6927.00   7276.00   5110.00   3280.00   2861.00   2283.00   2286.00   2242.00   3436.00   6944.00   8837.00
   45 JUPIA         10220.00   7562.00   7857.00   5715.00   3823.00   3400.00   2727.00   2607.00   2608.00   3838.00   7342.00   9256.00
   46 P.PRIMAVERA   11071.00   8992.00   9332.00   7003.00   4681.00   4206.00   3496.00   3363.00   3562.00   4946.00   7824.00  10091.00
   47 A.A.LAYDNER     225.00    282.00    252.00    278.00    147.00    145.00    114.00    151.00    130.00    174.00    145.00    199.00
   48 PIRAJU          230.00    290.00    259.00    285.00    151.00    149.00    116.00    154.00    134.00    178.00    148.00    204.00
   49 CHAVANTES       348.00    437.00    422.00    400.00    229.00    220.00    172.00    223.00    210.00    282.00    218.00    302.00
   50 L.N. GARCEZ     452.00    614.00    603.00    551.00    346.00    325.00    260.00    345.00    308.00    417.00    318.00    400.00
   51 CANOAS II       459.00    629.00    616.00    564.00    354.00    333.00    266.00    353.00    315.00    427.00    326.00    407.00
   52 CANOAS I        475.00    659.00    644.00    590.00    373.00    350.00    280.00    373.00    331.00    449.00    341.00    423.00
   54 STA BRANCA      127.00    260.00    192.00    152.00     67.00     78.00     49.00     38.00     48.00    175.00    115.00    133.00
   55 TIBAGI MONT     149.00    310.00    220.00    172.00     77.00     85.00     57.00     49.00     51.00    191.00    128.00    155.00
   57 MAUA            247.00    487.00    347.00    272.00    124.00    136.00     93.00     81.00     84.00    302.00    204.00    248.00
   58 SAO JERONIM     303.00    596.00    454.00    354.00    213.00    196.00    143.00    185.00    184.00    480.00    346.00    298.00
   61 CAPIVARA       1036.00   1800.00   1513.00   1268.00    781.00    725.00    554.00    728.00    684.00   1368.00   1003.00    948.00
   62 TAQUARUCU      1085.00   1906.00   1578.00   1345.00    836.00    784.00    606.00    786.00    742.00   1440.00   1079.00    996.00
   63 ROSANA         1199.00   2138.00   1739.00   1514.00    964.00    922.00    727.00    924.00    877.00   1618.00   1254.00   1117.00
   65 S GDE CHOPI     157.00     92.00    129.00    100.00     41.00     43.00     43.00     28.00    107.00    216.00    119.00    142.00
   66 ITAIPU        14838.00  15730.00  16345.00  13114.00   8274.00   7467.00   6019.00   6217.00   6646.00  10862.00  12441.00  13727.00
   70 JORDAO           17.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     10.00     48.00     10.00     18.00
   71 STA CLARA P      75.00     82.00    101.00     78.00     33.00     74.00     60.00     36.00     77.00    160.00     85.00     89.00
   72 FUNDAO           79.00     88.00    105.00     82.00     35.00     77.00     63.00     38.00     81.00    172.00     93.00     93.00
